business_name,niche,city,website,email,pain_angle,status
Museum Dental,Dental clinic,Toronto,https://museumdental.ca/,reception@museumdental.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Sparks Dental Clinic,Dental clinic,Ottawa,https://sparksdental.com/,info@sparksdental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Westboro Dental Centre,Dental clinic,Ottawa,https://westborodentalcentre.com/,info@westborodentalcentre.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Oakridge Dental Centre,Dental clinic,Vancouver,https://oakridgedentalcentre.ca/,reception@oakridgedentalcentre.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Laserbody MD Toronto,Med spa,Toronto,https://www.laserbodymd.ca/,service@laserbodymd.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
MediOne Physicians,Clinic,Toronto,https://medionephysicians.com/,info@medionephysicians.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Beauty Med,Med spa,Toronto,https://www.beautymed.ca/,info@beautymed.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
SpaMedica,Med spa,Toronto,https://www.spamedica.com/,reception@spamedica.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Lift Clinic Toronto,Med spa,Toronto,https://liftclinic.ca/,info@liftclinic.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
The Facial Place,Med spa,Toronto,https://www.thefacialplace.com/,info@thefacialplace.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
