business_name,niche,city,website,email,pain_angle,status,_source
Artin Dental Clinic downtown Toronto,Dental clinic,Toronto,https://www.artindental.com/,info@artindental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.artindental.com/
MJ Dental,Dental clinic,Toronto,https://mjdental.com/,info@mjdental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://mjdental.com/
Broadway Dental,Dental clinic,Toronto,https://www.broadwaydentalclinic.com/contact-us,info@broadwaydentalclinic.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.broadwaydentalclinic.com/contact-us
Cornerstone Physiotherapy,Physiotherapy clinic,Toronto,https://cornerstonephysio.com/contact/,info@cornerstonephysio.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://cornerstonephysio.com/locations/college-station/
Physiotherapy Toronto,Physiotherapy clinic,Toronto,https://rebuildphysiotherapy.com/,info@rebuildphysiotherapy.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://rebuildphysiotherapy.com/
Alpha Health Services,Physiotherapy clinic,Toronto,https://www.alphahealthservices.ca/,info@alphahealthservices.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.alphahealthservices.ca/
Peak Physio & Sports Rehab,Physiotherapy clinic,Toronto,https://peakphysiorehab.com/,info@peakphysiorehab.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://peakphysiorehab.com/
Kinective Health & Performance,Physiotherapy clinic,Toronto,https://www.kinectivehealth.com/contact,info@kinectivehealth.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.kinectivehealth.com/contact
Thesmilecentre,Dental clinic,Mississauga,https://thesmilecentre.com/,info@thesmilecentre.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://thesmilecentre.com/
Health First Group,Physiotherapy clinic,Mississauga,https://healthfirstgroup.ca/,info@healthfirstgroup.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://healthfirstgroup.ca/
Modern Movement,Physiotherapy clinic,Mississauga,https://www.m2modernmovement.ca/,info@m2modernmovement.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.m2modernmovement.ca/
Rishaanphysio,Physiotherapy clinic,Mississauga,https://rishaanphysio.com/,info@rishaanphysio.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://rishaanphysio.com/
Physiotherapy Clinic Mississauga,Physiotherapy clinic,Mississauga,https://www.deltaphysiotherapy.ca/,info@deltaphysiotherapy.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://www.deltaphysiotherapy.ca/
Arc Physio Health,Physiotherapy clinic,Mississauga,https://arcphysiohealth.ca/,info@arcphysiohealth.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://arcphysiohealth.ca/
Mississauga Auto Repairs,Auto repair,Mississauga,https://mississaugaautorepairs.com/contact.html,service@mississaugaautorepairs.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://mississaugaautorepairs.com/contact.html
Maple Vaughan Dental,Dental clinic,Vaughan,https://maplevaughandental.com/,info@maplevaughandental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://maplevaughandental.com/
Onyx Dentistry,Dental clinic,Vaughan,https://onyxdentistry.ca/,info@onyxdentistry.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://onyxdentistry.ca/
crystalline Dental,Dental clinic,Vaughan,https://crystallinedental.com/,info@crystallinedental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://crystallinedental.com/
Nest Dental Clinic,Dental clinic,Vaughan,https://nestdentalclinic.ca/,info@nestdentalclinic.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://nestdentalclinic.ca/
Marketplace Dentistry,Dental clinic,Vaughan,https://marketplacedentistry.ca/,info@marketplacedentistry.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent,https://marketplacedentistry.ca/
