business_name,niche,city,website,email,pain_angle,status
Uptown Park Dental Clinic,Dental clinic,New Westminster,https://uptownparkdental.ca/,info@uptownparkdental.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Norgate Dental Centre,Dental clinic,North Vancouver,https://norgatedental.com/,info@norgatedental.com,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
New Westminster City Dentist,Dental clinic,New Westminster,https://newwestminstercitydentist.com/,info@nwcitydentist.com,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Clayton Heights Family Dental,Dental clinic,Surrey,https://familydentalcentres.com/locations/clayton-heights-family-dental/,info@familydentalcentres.com,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Guildford Family Dentistry,Dental clinic,Surrey,https://guildfordfamilydental.com/,info@guildfordfamilydental.com,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Columbia Square Dental,Dental clinic,New Westminster,https://columbiasquaredental.ca/,info@columbiasquaredental.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Expo Yaletown Dentist,Dental clinic,Vancouver,https://yaletownorthodontistanddentistry.com/,info@expodentist.com,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Collingwood Community Dentist,Dental clinic,Vancouver,https://collingwoodcommunitydentist.ca/,info@collingwoodcommunitydentist.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Bay Dental Centre,Dental clinic,Vancouver,https://baydentalcentre.com/,contact@baydentalcentre.com,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Smile Well Dental Surrey,Dental clinic,Surrey,https://smilewelldentalsurrey.com/,info@smilewelldentalsurrey.com,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Coast Dental Centre,Dental clinic,Coquitlam,https://coastdentalcentre.ca/,info@coastdentalcentre.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Pathways Dental,Dental clinic,Calgary,https://pathwaysdental.com/,info@pathwaysdental.com,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Beyond Dental,Dental clinic,Calgary,https://www.beyonddental.ca/,info@beyonddental.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Jacksonport Dental,Dental clinic,Calgary,https://jacksonportdental.ca/,info@jacksonportdental.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Sunridge Family Dental,Dental clinic,Calgary,https://sunridgedental.ca/,info@sunridgedental.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
The Port Dental,Dental clinic,Calgary,https://theportdental.ca/,info@theportdental.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Greystone Family Dental,Dental clinic,Calgary,http://www.greystonedental.net,info@greystonedental.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Bow Trail Dental,Dental clinic,Calgary,https://www.bowtraildental.com/,info@bowtraildental.com,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Royal Vista Dental,Dental clinic,Calgary,https://www.royalvistadental.com/,info@royalvistadental.com,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
Midpark Dental,Dental clinic,Calgary,https://www.midparkdental.ca/,info@midparkdental.ca,"appointment communication, billing or insurance clarity, treatment expectation-setting, and fast response to occasional lower-rated feedback",ready_for_soft_mini_audit_outreach_not_sent
