business_name,niche,city,website,email,pain_angle,status
Artin Dental Clinic downtown Toronto,Dental clinic,Toronto,https://www.artindental.com/,info@artindental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
MJ Dental,Dental clinic,Toronto,https://mjdental.com/,info@mjdental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Broadway Dental,Dental clinic,Toronto,https://www.broadwaydentalclinic.com/contact-us,info@broadwaydentalclinic.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Cornerstone Physiotherapy,Physiotherapy clinic,Toronto,https://cornerstonephysio.com/contact/,info@cornerstonephysio.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Physiotherapy Toronto,Physiotherapy clinic,Toronto,https://rebuildphysiotherapy.com/,info@rebuildphysiotherapy.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Alpha Health Services,Physiotherapy clinic,Toronto,https://www.alphahealthservices.ca/,info@alphahealthservices.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Peak Physio & Sports Rehab,Physiotherapy clinic,Toronto,https://peakphysiorehab.com/,info@peakphysiorehab.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Kinective Health & Performance,Physiotherapy clinic,Toronto,https://www.kinectivehealth.com/contact,info@kinectivehealth.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Thesmilecentre,Dental clinic,Mississauga,https://thesmilecentre.com/,info@thesmilecentre.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Health First Group,Physiotherapy clinic,Mississauga,https://healthfirstgroup.ca/,info@healthfirstgroup.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Modern Movement,Physiotherapy clinic,Mississauga,https://www.m2modernmovement.ca/,info@m2modernmovement.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Rishaanphysio,Physiotherapy clinic,Mississauga,https://rishaanphysio.com/,info@rishaanphysio.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Physiotherapy Clinic Mississauga,Physiotherapy clinic,Mississauga,https://www.deltaphysiotherapy.ca/,info@deltaphysiotherapy.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Arc Physio Health,Physiotherapy clinic,Mississauga,https://arcphysiohealth.ca/,info@arcphysiohealth.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Mississauga Auto Repairs,Auto repair,Mississauga,https://mississaugaautorepairs.com/contact.html,service@mississaugaautorepairs.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Maple Vaughan Dental,Dental clinic,Vaughan,https://maplevaughandental.com/,info@maplevaughandental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Onyx Dentistry,Dental clinic,Vaughan,https://onyxdentistry.ca/,info@onyxdentistry.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
crystalline Dental,Dental clinic,Vaughan,https://crystallinedental.com/,info@crystallinedental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Nest Dental Clinic,Dental clinic,Vaughan,https://nestdentalclinic.ca/,info@nestdentalclinic.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Marketplace Dentistry,Dental clinic,Vaughan,https://marketplacedentistry.ca/,info@marketplacedentistry.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Marble Dental Centre,Dental clinic,Vaughan,https://marbledentalcentre.ca/contact/,info@marbledentalcentre.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Mederm Esthetics,Med spa,Vaughan,https://medermesthetics.com/,info@medermesthetics.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Chiropractor Vaughan,Physiotherapy clinic,Vaughan,https://www.chperformance.ca/,info@chperformance.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
The Physiotherapy Professionals,Physiotherapy clinic,Vaughan,https://thephysiopros.com/contact-info/,info@thephysiopros.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Chiropractic & Physiotherapy Clinic,Physiotherapy clinic,Vaughan,https://www.bodyworxvitality.com/,info@bodyworxvitality.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
HealthBridge Physio,Physiotherapy clinic,Vaughan,https://healthbridgephysio.ca/,info@healthbridgephysio.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Vaughan Auto Service,Auto repair,Vaughan,https://vaughanautoservice.ca/contact-us/,info@vaughanautoservice.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Health Bound Health Network,Physiotherapy clinic,Markham,https://healthbound.ca/markham/,info@healthbound.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Markham Family Auto Center,Auto repair,Markham,https://www.markhamautos.com/contact.php,sales@markhamautos.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Yonge & Seven Dental Care,Dental clinic,Richmond Hill,https://yongeandsevendental.com/,info@yongeandsevendental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Eros medical Spa,Med spa,Richmond Hill,https://erosmedicalspa.com/,info@erosmedicalspa.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
O3 Med Spa,Med spa,Richmond Hill,https://ozonesaunaspa.ca/,info@ozonesaunaspa.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Richmond Hill Physiotherapy,Physiotherapy clinic,Richmond Hill,https://mayaphysio.ca/,info@mayaphysio.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Olde Oakville Dental,Dental clinic,Oakville,https://oldeoakvilledental.com/contact/,info@oldeoakvilledental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Rebecca Dental - Dental office in Oakville,Dental clinic,Oakville,https://rebeccadental.com/,info@rebeccadental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Central Oakville Dental Care,Dental clinic,Oakville,https://codentalcare.ca/,info@codentalcare.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Glenashton Dental Office,Dental clinic,Oakville,https://www.glenashtondental.ca/,info@glenashtondental.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Bronte Oak Dental,Dental clinic,Oakville,https://www.bronteoakdental.ca/,info@bronteoakdental.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Oakville Dentist,Dental clinic,Oakville,https://www.bhandaridental.com/,info@bhandaridental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Oakville Medical Aesthetics,Med spa,Oakville,https://oakvillemed.ca/,info@oakvillemed.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Oakpark Physiotherapy,Physiotherapy clinic,Oakville,https://oakparkphysiotherapy.ca/,info@oakparkphysiotherapy.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Elevate Rehabilitation and Performance,Physiotherapy clinic,Oakville,https://www.elevaterehabilitation.com/,info@elevaterehabilitation.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Speers Physiotherapy Clinic,Physiotherapy clinic,Oakville,https://speersroadphysiotherapy.com/,info@speersroadphysiotherapy.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Dennis of Oakville Auto Service,Auto repair,Oakville,https://www.dennisofoakville.ca/,service@dennisofoakville.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
