business_name,exact_bad_review_examples,review_count_verified,evidence_source_urls,verification_status,notes
Midtown Dental Centre,"""Highly advise to get insurance checks prior to appointments as they charge well above the ODA fee guideline. They are not very transparent about it and even charge hidden ‘premium’ fees for certain Dentists"" | ""Will tell you that it cost a certain amount, then add things after the procedure. Avoid booking they will try to rip you off"" | ""Twice I sought second opinions after being quoted expensive dental treatments at this office. Both times, independent dental professionals confirmed the work was unnecessary.""",Birdeye: 473 reviews,https://reviews.birdeye.com/midtown-dental-centre-176899338831422,verified_public_quotes,Fetched 2026-05-06; Birdeye profile says unclaimed and exposes exact snippets.
WestClair Dental,"""One of the dentists was a very rude dentist she was acting rude and inappropriate"" | ""I called on Monday February 9 at 12:30 pm and spoke to a male at the front desk he was rude"" | ""made the whole process difficult""",Birdeye: 480 reviews,https://reviews.birdeye.com/westclair-dental-166817286575368,verified_public_quotes,"Fetched 2026-05-06; Birdeye profile says unclaimed and exposes exact snippets. Contact form only, no direct email found."
Med Spa Toronto - Rejuvenation Med Clinic,,unverified,https://www.google.com/maps/search/?api=1&query=Med%20Spa%20Toronto%20-%20Rejuvenation%20Med%20Clinic%20Toronto,needs_manual_google_screenshot,Exact low-star quote not reliably fetchable; do not send quote-based email yet.
Medica Laser Spa,,unverified,https://www.google.com/maps/search/?api=1&query=Medica%20Laser%20Spa%20Toronto,needs_manual_google_screenshot,Exact low-star quote not reliably fetchable; do not send quote-based email yet.
Skin Vitality Medical Clinic Toronto,,unverified,https://www.google.com/maps/search/?api=1&query=Skin%20Vitality%20Medical%20Clinic%20Toronto,needs_manual_google_screenshot,Exact location-specific low-star quote not reliably fetchable; do not send quote-based email yet.
Tony Shamas Hair Salon Toronto,,unverified,https://www.google.com/maps/search/?api=1&query=Tony%20Shamas%20Hair%20Salon%20Toronto,needs_manual_google_screenshot,Exact low-star quote not reliably fetchable; do not send quote-based email yet.
Dupont Auto Repair,"""for rear brake pads and disc, $800? tryna rip off people. DONT GO."" | ""Honestly these guys are just lazy... I knew he was lying so I took it to another mechanic and all the brakes needed replacing... DONT WASTE YOUR TIME."" | ""Horrible customer service. Cant speak on the tech side. But on customer service the person who answers the phone needs to be better trained""",Birdeye: 221 reviews; ReviewsOnMyWebsite/Google: 157 reviews,https://reviews.birdeye.com/dupont-auto-repair-167474451501204; https://directory.reviewsonmywebsite.com/reviews/dupont-auto-repair-6217,verified_public_quotes,Best verified direct-email target; exact negative snippets publicly visible on Birdeye.
Thruway Muffler / Cam's Auto Service,,unverified,https://www.google.com/maps/search/?api=1&query=Thruway%20Muffler%20Cam%27s%20Auto%20Service%20Toronto,needs_manual_google_screenshot,Exact low-star quote not reliably fetchable; do not send quote-based email yet.
Harbourfront Chiropractic,,unverified,https://www.google.com/maps/search/?api=1&query=Harbourfront%20Chiropractic%20Toronto,needs_manual_google_screenshot,Exact low-star quote not reliably fetchable; do not send quote-based email yet.
La Plume,,unverified,https://www.google.com/maps/search/?api=1&query=La%20Plume%20Toronto%20restaurant,needs_manual_google_screenshot,Exact low-star quote not reliably fetchable; do not send quote-based email yet.
