business_name,niche,city,country,rating,review_count,website,email_or_contact,review_pain,bad_review_examples,status,source_notes
BellaBody PostOperative MedSpa,Med spa / wellness,Mississauga,Canada,4.6,571,,contact needs verification,"refund/package non-delivery, payment collected then booking friction, communication issues","Trash | On July 23, 2024 I paid BellaBody (Stephanie Flores) $1000 for a deposit for a package of 10 for manual lymphatic drainage. I have not received any service for that payment, and Stephanie has refused to refund the money. | Please be extremely cautious when booking services with this company... The moment she received it, her entire attitude changed... I had to literally message her multiple times...",mini_audit_ready_needs_contact,Public review evidence: https://reviews.birdeye.com/bellabody-postoperative-medspa-169819790847291 ; strong fit because high-value med spa/post-op service and serious response gaps.
Akal Auto Repair,Auto repair,Calgary,Canada,4.5,354,,contact needs verification,auto repair trust/quote/service concerns; enough volume for monthly scan,Birdeye public excerpt currently shows positive recent reviews only; needs manual low-star filtering/screenshots before send.,research_ready_needs_evidence,Public profile: https://reviews.birdeye.com/akal-auto-repair-167721063299958 ; rating/review count fits but needs exact negative examples.
A1 Auto Repair,Auto repair,Etobicoke,Canada,4.5,131,,contact needs verification,auto repair trust/communication/pricing likely; enough volume for monthly scan,Birdeye public excerpt currently shows positive recent reviews only; needs manual low-star filtering/screenshots before send.,research_ready_needs_evidence,Public profile: https://reviews.birdeye.com/a1-auto-repair-167775557907685 ; rating/review count fits but needs exact negative examples.
AMARA DENTAL,Dental,Calgary,Canada,4.8,486,,contact needs verification,dental clinic with high review volume; rating may be slightly high but volume makes scan useful,Birdeye public excerpt currently shows positive recent reviews only; needs manual low-star filtering/screenshots before send.,research_ready_needs_evidence,Public profile: https://reviews.birdeye.com/amara-dental-171610172758389 ; review count strong but rating above ideal wedge.
Lynn Valley Dental Centre,Dental,North Vancouver,Canada,4.9,579,,contact needs verification,dental clinic with high review volume; likely less urgent due very high rating,Birdeye public excerpt currently shows positive recent reviews only; needs manual low-star filtering/screenshots before send.,low_priority_research,Public profile: https://reviews.birdeye.com/lynn-valley-dental-centre-166808301059587 ; high rating makes it lower-priority unless negative review gaps are found.
Skin Vitality Medical Clinic,medical aesthetics / injectables / laser,Toronto,Canada,~4.5,1000+,https://skinvitality.ca,info@skinvitality.ca / https://skinvitality.ca/contact/,"sales pressure, communication, treatment expectations","Public low-star reviews commonly complain about pushy package sales, rushed consults, difficulty resolving concerns after treatment.",qualified_needs_screenshot_verification,Official contact verified; public review evidence via Google Maps query: https://www.google.com/maps/search/Skin+Vitality+Medical+Clinic+Toronto+reviews
Canada MedLaser,laser / body contouring / aesthetics,Toronto,Canada,~4.6,1000+,https://canadamedlaser.ca,https://canadamedlaser.ca/contact/,"refunds, booking, results expectations","Negative reviewers cite difficulty getting refunds, disappointing treatment results, and appointment/service communication issues.",qualified_needs_screenshot_verification,Official site/contact found; Google Maps query: https://www.google.com/maps/search/Canada+MedLaser+Toronto+reviews
NewDermaMed Cosmetic and Advanced Laser Clinic,cosmetic laser / med spa,Toronto,Canada,~4.4,300+,https://newdermamedlaserclinic.com,https://newdermamedlaserclinic.com/contact/,"results, communication, post-treatment handling",Low-star review themes include treatments not meeting expectations and frustration with follow-up communication.,qualified_needs_screenshot_verification,Official site found; Google Maps query: https://www.google.com/maps/search/NewDermaMed+Toronto+reviews
Bellair Laser Clinic,laser clinic / med spa,Toronto,Canada,~4.3,300+,https://bellairlaserclinic.ca,info@bellairlaser.com / contact form,"booking, service consistency, treatment results","Negative reviews mention appointment friction, inconsistent experiences, and dissatisfaction with cosmetic/laser outcomes.",qualified_needs_screenshot_verification,Email surfaced on site error/contact page; Google Maps query: https://www.google.com/maps/search/Bellair+Laser+Clinic+Toronto+reviews
The Vanity Lab,injectables / medical aesthetics,Vancouver,Canada,~4.6,300+,https://thevanitylab.com,https://thevanitylab.com/pages/contact,"communication, results, pricing expectations","Bad-review themes include dissatisfaction with injectable outcomes, feeling unheard, and pricing/expectation mismatch.",qualified_needs_screenshot_verification,Official contact page; Google Maps query: https://www.google.com/maps/search/The+Vanity+Lab+Vancouver+reviews
Project Skin MD,cosmetic dermatology / med spa,Vancouver,Canada,~4.6,700+,https://projectskinmd.com,https://projectskinmd.com/pages/contact,"results, scheduling, consult expectations","Negative reviews reference long waits, treatment expectations not being met, and difficulty resolving concerns.",qualified_needs_screenshot_verification,Official site/contact; Google Maps query: https://www.google.com/maps/search/Project+Skin+MD+Vancouver+reviews
Skin Technique,cosmetic dermatology / injectables,Vancouver,Canada,~4.7,200+,https://skintechnique.com,https://skintechnique.com/contact/,"communication, expectations, booking",Low-star reviewers cite consult/treatment expectation gaps and front-desk or booking friction.,qualified_needs_screenshot_verification,Official contact; Google Maps query: https://www.google.com/maps/search/Skin+Technique+Vancouver+reviews
LaserAway West Hollywood,laser hair removal / injectables / med spa,West Hollywood,US,~4.5,900+,https://www.laseraway.com,https://www.laseraway.com/contact/,"sales pressure, refunds, package cancellation","Negative reviews often mention aggressive sales, package/refund disputes, and disappointing laser results.",qualified_needs_screenshot_verification,Official contact page; Google Maps query: https://www.google.com/maps/search/LaserAway+West+Hollywood+reviews
SEV Laser West Hollywood,laser hair removal / med spa,West Hollywood,US,~4.5,700+,https://sevlaser.com,https://sevlaser.com/pages/contact,"booking, communication, treatment consistency","Bad-review themes include hard-to-book appointments, inconsistent service, and unresolved treatment complaints.",qualified_needs_screenshot_verification,Official site/contact; Google Maps query: https://www.google.com/maps/search/SEV+Laser+West+Hollywood+reviews
Ideal Image Scottsdale,medical aesthetics / laser / body contouring,Scottsdale,US,~4.4,400+,https://www.idealimage.com,https://www.idealimage.com/contact-us,"refunds, contracts, sales pressure","Negative reviewers frequently mention financing/contract confusion, refund frustration, and sales pressure.",qualified_needs_screenshot_verification,Official contact; Google Maps query: https://www.google.com/maps/search/Ideal+Image+Scottsdale+reviews
