date,business_name,email_or_contact,subject,status,followup_due,notes
2026-05-06T10:44:39,Midtown Dental Centre,info@midtowndental.ca,I noticed Midtown Dental Centre has unanswered bad reviews,sent,2026-05-11,SendGrid accepted with status 202. Message: Email sent to info@midtowndental.ca (status 202).
2026-05-06T10:44:40,Dupont Auto Repair,info@dupontautorepair.ca,I noticed Dupont Auto Repair has unanswered bad reviews,sent,2026-05-11,SendGrid accepted with status 202. Message: Email sent to info@dupontautorepair.ca (status 202).
2026-05-06T15:08:22,Med Spa Toronto - Rejuvenation Med Clinic,info@rejuvenationmedclinic.com,I noticed Med Spa Toronto - Rejuvenation Med Clinic has unanswered bad reviews,sent,2026-05-11,"{""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@rejuvenationmedclinic.com (status 202)""}"
2026-05-06T15:38:17,B & E Towing & Auto Repair,autotow655@gmail.com,I noticed B & E Towing & Auto Repair has unanswered bad reviews,sent,2026-05-11,"{""success"": true, ""status_code"": 202, ""message"": ""Email sent to autotow655@gmail.com (status 202)""}"
2026-05-06T15:56:30,Dynamic Dental Scarborough,info@dynamicdental.ca,Quick review mini-audit for Dynamic Dental Scarborough,sent,2026-05-11,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@dynamicdental.ca (status 202)""}. Status code: 200"
2026-05-06T15:56:30,Medica Laser Spa,medicalaserspatoronto@gmail.com,Quick review mini-audit for Medica Laser Spa,sent,2026-05-11,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to medicalaserspatoronto@gmail.com (status 202)""}. Status code: 200"
2026-05-06T15:56:31,Skin Vitality Medical Clinic Toronto,info@skinvitality.ca,Quick review mini-audit for Skin Vitality Medical Clinic Toronto,sent,2026-05-11,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@skinvitality.ca (status 202)""}. Status code: 200"
2026-05-06T15:56:31,Tony Shamas Hair Salon Toronto,info@tonyshamas.ca,Quick review mini-audit for Tony Shamas Hair Salon Toronto,sent,2026-05-11,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@tonyshamas.ca (status 202)""}. Status code: 200"
2026-05-06T15:56:32,Harbourfront Chiropractic,info@harbourfrontchiropractic.com,Quick review mini-audit for Harbourfront Chiropractic,sent,2026-05-11,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@harbourfrontchiropractic.com (status 202)""}. Status code: 200"
2026-05-06T15:56:32,Bellair Laser Clinic,info@bellairlaser.com,Quick review mini-audit for Bellair Laser Clinic,sent,2026-05-11,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@bellairlaser.com (status 202)""}. Status code: 200"
2026-05-06T15:56:32,OVME Chicago River North,help@ovme.com,Quick review mini-audit for OVME Chicago River North,sent,2026-05-11,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to help@ovme.com (status 202)""}. Status code: 200"
2026-05-06T15:56:33,The Vanity Lab,megan@thevanitylab.com,Quick review mini-audit for The Vanity Lab,sent,2026-05-11,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to megan@thevanitylab.com (status 202)""}. Status code: 200"
2026-05-06T15:56:33,Skin Technique,info@skintechnique.com,Quick review mini-audit for Skin Technique,sent,2026-05-11,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@skintechnique.com (status 202)""}. Status code: 200"
2026-05-06T15:56:34,JECT West Village,info@jectnyc.com,Quick review mini-audit for JECT West Village,sent,2026-05-11,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@jectnyc.com (status 202)""}. Status code: 200"
2026-05-06T15:56:34,Peachy Studio Flatiron,hello@peachystudio.com,Quick review mini-audit for Peachy Studio Flatiron,sent,2026-05-11,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to hello@peachystudio.com (status 202)""}. Status code: 200"
2026-05-06T15:56:35,Woodbine & Danforth Dental Care,info@woodbinedanforthdentalcare.ca,Quick review mini-audit for Woodbine & Danforth Dental Care,sent,2026-05-11,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to info@woodbinedanforthdentalcare.ca (status 202)""}. Status code: 200"
2026-05-06T15:56:35,My Dentist Vancouver,mydentistvancouver@gmail.com,Quick review mini-audit for My Dentist Vancouver,sent,2026-05-11,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to mydentistvancouver@gmail.com (status 202)""}. Status code: 200"
2026-05-06T15:56:35,Madison Centre Family Dental,madisoncentre@familydentalcentres.com,Quick review mini-audit for Madison Centre Family Dental,sent,2026-05-11,"Soft mini-audit outreach. {""success"": true, ""status_code"": 202, ""message"": ""Email sent to madisoncentre@familydentalcentres.com (status 202)""}. Status code: 200"
