business_name,niche,city,website,email,pain_angle,status
Oakpark Physiotherapy,Physiotherapy clinic,Oakville,https://oakparkphysiotherapy.ca/,info@oakparkphysiotherapy.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Elevate Rehabilitation and Performance,Physiotherapy clinic,Oakville,https://www.elevaterehabilitation.com/,info@elevaterehabilitation.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Speers Physiotherapy Clinic,Physiotherapy clinic,Oakville,https://speersroadphysiotherapy.com/,info@speersroadphysiotherapy.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Dennis of Oakville Auto Service,Auto repair,Oakville,https://www.dennisofoakville.ca/,service@dennisofoakville.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Burlington Village Dental Centre,Dental clinic,Burlington,https://www.burlingtonvillagedental.com/,info@burlingtonvillagedental.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Central burlington Dental Care,Dental clinic,Burlington,https://www.cbdentistry.ca/,info@cbdentistry.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Burlington Smile Dental,Dental clinic,Burlington,https://burlingtonsmiledental.ca/,info@burlingtonsmiledental.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Burlington Autoworks,Auto repair,Burlington,https://www.burlingtonautoworks.com/,appointments@burlingtonautoworks.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
East Hamilton Physiotherapy,Physiotherapy clinic,Hamilton,https://easthamiltonphysio.com/,info@easthamiltonphysio.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Physiotherapy Hamilton,Physiotherapy clinic,Hamilton,https://www.sterlingphysiotherapy.com/,info@sterlingphysiotherapy.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Meadowlands Physiotherapy -,Physiotherapy clinic,Hamilton,https://meadowlandsphysio.ca/,info@meadowlandsphysio.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Dia Physio Care and Wellness Center,Physiotherapy clinic,Hamilton,https://diaphysiocare.com/,info@diaphysiocare.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Merivale Dental - We’re here to help you smile,Dental clinic,Ottawa,https://merivaledentalcentre.com/contact/,info@merivaledentalcentre.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
DentoCare,Dental clinic,Ottawa,https://dentocare.ca/,info@dentocare.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Riverbank Dental,Dental clinic,Ottawa,https://riverbankdental.ca/,info@riverbankdental.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
TheraTouch Physiotherapy,Physiotherapy clinic,Ottawa,https://theratouchphysio.com/,info@theratouchphysio.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Premier Physiotherapy Ottawa,Physiotherapy clinic,Ottawa,https://premierphysiotherapyclinic.ca/contact,info@premierphysiotherapyclinic.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Pro Care Physiotherapy & Athletes' Injury Center,Physiotherapy clinic,Ottawa,https://procarephysiotherapy.com/,info@procarephysiotherapy.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
InstaMek Ottawa,Auto repair,Ottawa,https://instamek.com/cities/ottawa-mechanic/,support@instamek.com,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
Blue Heron Dental Centre,Dental clinic,London,https://www.blueherondental.ca/,info@blueherondental.ca,"appointment communication, trust signals, service expectation-setting, and fast response to occasional lower-rated public feedback",ready_for_soft_mini_audit_outreach_not_sent
